original,head
Occupational therapists,Associate Professional and Technical Occupations
Speech and language therapists,Associate Professional and Technical Occupations
Therapists n.e.c.,Associate Professional and Technical Occupations
Social Welfare Associate Professionals,Associate Professional and Technical Occupations
Youth and community workers,Associate Professional and Technical Occupations
Housing and welfare officers,Associate Professional and Technical Occupations
Protective Service Occupations,Associate Professional and Technical Occupations
Protective Service Occupations,Associate Professional and Technical Occupations
NCOs and other ranks,Associate Professional and Technical Occupations
Police officers (sergeant and below),Associate Professional and Technical Occupations
Fire service officers (leading fire officer and below),Associate Professional and Technical Occupations
Prison service officers (below principal officer),Associate Professional and Technical Occupations
Protective service associate professionals n.e.c.,Associate Professional and Technical Occupations
"Culture, Media And Sports Occupations",Associate Professional and Technical Occupations
Artistic And Literary Occupations,Associate Professional and Technical Occupations
Artists,Associate Professional and Technical Occupations
"Authors, writers",Associate Professional and Technical Occupations
"Actors, entertainers",Associate Professional and Technical Occupations
Dancers and choreographers,Associate Professional and Technical Occupations
Musicians,Associate Professional and Technical Occupations
"Arts officers, producers and directors",Associate Professional and Technical Occupations
Design Associate Professionals,Associate Professional and Technical Occupations
Graphic designers,Associate Professional and Technical Occupations
"Product, clothing and related designers",Associate Professional and Technical Occupations
Media Associate Professionals,Associate Professional and Technical Occupations
"Journalists, newspaper and periodical editors",Associate Professional and Technical Occupations
Broadcasting associate professionals,Associate Professional and Technical Occupations
Public relations officers,Associate Professional and Technical Occupations
Photographers and audiovisual equipment operators,Associate Professional and Technical Occupations
Sports And Fitness Occupations,Associate Professional and Technical Occupations
Sports players,Associate Professional and Technical Occupations
"Sports coaches, instructors and officials",Associate Professional and Technical Occupations
Fitness instructors,Associate Professional and Technical Occupations
Sports and fitness occupations n.e.c.,Associate Professional and Technical Occupations
Business And Public Service Associate Professionals,Associate Professional and Technical Occupations
Transport Associate Professionals,Associate Professional and Technical Occupations
Air traffic controllers,Associate Professional and Technical Occupations
Aircraft pilots and flight engineers,Associate Professional and Technical Occupations
Ship and hovercraft officers,Associate Professional and Technical Occupations
Train drivers,Associate Professional and Technical Occupations
Legal Associate Professionals,Associate Professional and Technical Occupations
Legal associate professionals,Associate Professional and Technical Occupations
Business And Finance Associate Professionals,Associate Professional and Technical Occupations
